Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,D Term 1,D Term 2,P Term 1,P Term 2
-x*(x/2 + 1/2)*(x - 1)**2*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,-3/140,wjp1o2m,dpsihmh,dpsihms,phij,phijm1o2
-x*(-x/2 + 1/2)*(x - 1)**2*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)**2/2,-1,1,243/560,wjm1o2p,dpsihms,dpsihms,phij,phijm1o2
-x*(x/2 + 1/2)*(x - 1)**2*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)**2/2,-1,1,0,wjp1o2m,dpsihms,dpsihms,phij,phijm1o2
-x*(-x/2 + 1/2)*(x - 1)**2*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,-81/560,wjm1o2p,dpsihps,dpsihms,phij,phijm1o2
-x*(x/2 + 1/2)*(x - 1)**2*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,0,wjp1o2m,dpsihps,dpsihms,phij,phijm1o2
-x*(-x/2 + 1/2)*(x - 1)**2*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/2,-1,1,3/80,wjm1o2p,dpsihph,dpsihms,phij,phijm1o2
-x*(x/2 + 1/2)*(x - 1)**2*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/2,-1,1,3/140,wjp1o2m,dpsihph,dpsihms,phij,phijm1o2
-x*(-x/2 + 1/2)*(x - 1)**2*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,3/112,wjm1o2p,dpsihmh,dpsihps,phij,phijm1o2
-x*(x/2 + 1/2)*(x - 1)**2*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,-3/140,wjp1o2m,dpsihmh,dpsihps,phij,phijm1o2
-x*(-x/2 + 1/2)*(x - 1)**2*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,-81/560,wjm1o2p,dpsihms,dpsihps,phij,phijm1o2
-x*(x/2 + 1/2)*(x - 1)**2*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,0,wjp1o2m,dpsihms,dpsihps,phij,phijm1o2
-x*(-x/2 + 1/2)*(x - 1)**2*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)**2/2,-1,1,81/560,wjm1o2p,dpsihps,dpsihps,phij,phijm1o2
-x*(x/2 + 1/2)*(x - 1)**2*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)**2/2,-1,1,0,wjp1o2m,dpsihps,dpsihps,phij,phijm1o2
-x*(-x/2 + 1/2)*(x - 1)**2*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/2,-1,1,-3/112,wjm1o2p,dpsihph,dpsihps,phij,phijm1o2
-x*(x/2 + 1/2)*(x - 1)**2*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/2,-1,1,3/140,wjp1o2m,dpsihph,dpsihps,phij,phijm1o2
