dx,dt,time,xi,Eval,height(m),G,u(m/s),true height,true velocity
0.09765625,0.0119566931342,0.0119566931342,-33.59375,528.396026442,1.0,9.06774273054e-16,9.06774273054e-16,1.0,9.06774273054e-16
0.09765625,0.0119566931342,0.0119566931342,-33.49609375,528.396026442,1.0,9.06774273054e-16,9.06774273054e-16,1.0,9.06774273054e-16
0.09765625,0.0119566931342,0.0119566931342,-33.3984375,528.396026442,1.0,9.06774273054e-16,9.06774273054e-16,1.0,9.06774273054e-16
0.09765625,0.0119566931342,0.0119566931342,-33.30078125,528.396026442,1.0,9.06774273054e-16,9.06774273054e-16,1.0,9.06774273054e-16
0.09765625,0.0119566931342,0.0119566931342,-33.203125,528.396026442,1.0,9.06774273054e-16,9.06774273054e-16,1.0,9.06774273054e-16
0.09765625,0.0119566931342,0.0119566931342,-33.10546875,528.396026442,1.0,3.54794577345e-15,9.06774273054e-16,1.0,9.06774273054e-16
0.09765625,0.0119566931342,0.0119566931342,-33.0078125,528.396026442,1.0,-3.87107982329e-14,9.06774273054e-16,1.0,9.06774273054e-16
0.09765625,0.0119566931342,0.0119566931342,-32.91015625,528.396026442,1.0,4.1431121052e-14,1.81354854611e-15,1.0,1.81354854611e-15
0.09765625,0.0119566931342,0.0119566931342,-32.8125,528.396026442,1.0,-8.27622954286e-16,1.81354854611e-15,1.0,1.81354854611e-15
0.09765625,0.0119566931342,0.0119566931342,-32.71484375,528.396026442,1.0,4.4547200465e-15,1.81354854611e-15,1.0,1.81354854611e-15
0.09765625,0.0119566931342,0.0119566931342,-32.6171875,528.396026442,1.0,-3.78040239598e-14,1.81354854611e-15,1.0,1.81354854611e-15
0.09765625,0.0119566931342,0.0119566931342,-32.51953125,528.396026442,1.0,4.23378953251e-14,2.72032281916e-15,1.0,1.81354854611e-15
0.09765625,0.0119566931342,0.0119566931342,-32.421875,528.396026442,1.0,2.72032281916e-15,2.72032281916e-15,1.0,2.72032281916e-15
0.09765625,0.0119566931342,0.0119566931342,-32.32421875,528.396026442,1.0,-3.68972496868e-14,2.72032281916e-15,1.0,2.72032281916e-15
0.09765625,0.0119566931342,0.0119566931342,-32.2265625,528.396026442,1.0,4.32446695981e-14,3.62709709222e-15,1.0,2.72032281916e-15
0.09765625,0.0119566931342,0.0119566931342,-32.12890625,528.396026442,1.0,3.62709709222e-15,3.62709709222e-15,1.0,3.62709709222e-15
0.09765625,0.0119566931342,0.0119566931342,-32.03125,528.396026442,1.0,-3.59904754137e-14,3.62709709222e-15,1.0,3.62709709222e-15
0.09765625,0.0119566931342,0.0119566931342,-31.93359375,528.396026442,1.0,4.67926153716e-14,4.53387136527e-15,1.0,4.53387136527e-15
0.09765625,0.0119566931342,0.0119566931342,-31.8359375,528.396026442,1.0,-3.50837011407e-14,4.53387136527e-15,1.0,4.53387136527e-15
0.09765625,0.0119566931342,0.0119566931342,-31.73828125,528.396026442,1.0,8.08181713872e-15,5.44064563833e-15,1.0,5.44064563833e-15
0.09765625,0.0119566931342,0.0119566931342,-31.640625,528.396026442,1.0,3.70624841099e-15,6.34741991138e-15,1.0,5.44064563833e-15
0.09765625,0.0119566931342,0.0119566931342,-31.54296875,528.396026442,1.0,4.68717666904e-14,7.25419418443e-15,1.0,6.34741991138e-15
0.09765625,0.0119566931342,0.0119566931342,-31.4453125,528.396026442,1.0,-3.23633783215e-14,7.25419418443e-15,1.0,7.25419418443e-15
0.09765625,0.0119566931342,0.0119566931342,-31.34765625,528.396026442,1.0,1.34433114583e-14,8.16096845749e-15,1.0,8.16096845749e-15
0.09765625,0.0119566931342,0.0119566931342,-31.25,528.396026442,1.0,-3.05498297754e-14,9.06774273054e-15,1.0,9.06774273054e-15
0.09765625,0.0119566931342,0.0119566931342,-31.15234375,528.396026442,1.0,5.04988637826e-14,1.08812912767e-14,1.0,9.9745170036e-15
0.09765625,0.0119566931342,0.0119566931342,-31.0546875,528.396026442,1.0,1.17880655497e-14,1.17880655497e-14,1.0,1.08812912767e-14
0.09765625,0.0119566931342,0.0119566931342,-30.95703125,528.396026442,1.0,-2.42815611828e-14,1.26948398228e-14,1.0,1.26948398228e-14
0.09765625,0.0119566931342,0.0119566931342,-30.859375,528.396026442,1.0,1.71495598693e-14,1.45083883689e-14,1.0,1.36016140958e-14
0.09765625,0.0119566931342,0.0119566931342,-30.76171875,528.396026442,1.0,1.6321936915e-14,1.6321936915e-14,1.0,1.54151626419e-14
